Players,BID,RETAINED,UNSOLD,Base Price,BO,A,BA,W,TYPE,COST IN ₹ (CR.),,2022 Squad,SOLD TO 
Shivam Mavi,Yes,No,No,4000000,Yes,No,No,No,BOWLER,6,,KKR,Gujarat Titans
Joshua Little,Yes,No,No,5000000,Yes,No,No,No,BOWLER,4.4,,,Gujarat Titans
Kane Williamson,Yes,No,No,20000000,No,No,Yes,No,BATSMAN,2,,SRH,Gujarat Titans
K.S. Bharat,Yes,No,No,2000000,No,No,No,Yes,WICKETKEEPER,1.2,,DC,Gujarat Titans
Mohit Sharma,Yes,No,No,5000000,Yes,No,No,No,BOWLER,0.5,,,Gujarat Titans
Odean Smith,Yes,No,No,5000000,No,Yes,No,No,ALL-ROUNDER,0.5,,PBKS,Gujarat Titans
Urvil Patel,Yes,No,No,2000000,No,No,No,Yes,WICKETKEEPER,0.2,,,Gujarat Titans
Rahul Tewatia,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
Pradeep Sangwan,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
Rashid Khan,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,GT,Gujarat Titans
R. Sai Kishore,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,GT,Gujarat Titans
Yash Dayal,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,GT,Gujarat Titans
Noor Ahmad,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,GT,Gujarat Titans
Wriddhiman Saha,No,Yes,No,Retained,No,No,No,Yes,WICKETKEEPER,0,,GT,Gujarat Titans
Vijay Shankar,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
Shubman Gill,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,GT,Gujarat Titans
Hardik Pandya,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
B. Sai Sudharsan,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
Alzarri Joseph,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,GT,Gujarat Titans
Abhinav Sadarangani,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,GT,Gujarat Titans
Darshan Nalkande,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
David Miller,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,GT,Gujarat Titans
Matthew Wade,No,Yes,No,Retained,No,No,No,Yes,WICKETKEEPER,0,,GT,Gujarat Titans
Jayant Yadav,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,GT,Gujarat Titans
Mohammad Shami,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,GT,Gujarat Titans
Ben Stokes,Yes,No,No,20000000,No,Yes,No,No,ALL-ROUNDER,16.25,,,Chennai Super Kings
Kyle Jamieson,Yes,No,No,10000000,Yes,No,No,No,BOWLER,1,,,Chennai Super Kings
Nishant Sindhu,Yes,No,No,2000000,No,Yes,No,No,ALL-ROUNDER,0.6,,,Chennai Super Kings
Ajinkya Rahane,Yes,No,No,5000000,No,No,Yes,No,BATSMAN,0.5,,KKR,Chennai Super Kings
Bhagath Varma,Yes,No,No,2000000,No,Yes,No,No,ALL-ROUNDER,0.2,,CSK,Chennai Super Kings
Ajay Mandal,Yes,No,No,2000000,No,Yes,No,No,ALL-ROUNDER,0.2,,,Chennai Super Kings
Shaik Rasheed,Yes,No,No,2000000,No,No,Yes,No,BATSMAN,0.2,,,Chennai Super Kings
Ravindra Jadeja,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,CSK,Chennai Super Kings
Rajvardhan Hangargekar,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,CSK,Chennai Super Kings
Prashant Solanki,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,CSK,Chennai Super Kings
Ruturaj Gaikwad,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,CSK,Chennai Super Kings
Tushar Deshpande,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,CSK,Chennai Super Kings
Mukesh Choudhary,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,CSK,Chennai Super Kings
Subhranshu Senapati,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,CSK,Chennai Super Kings
Simarjeet Singh,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,CSK,Chennai Super Kings
Shivam Dube,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,CSK,Chennai Super Kings
Matheesha Pathirana,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,CSK,Chennai Super Kings
Devon Conway,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,CSK,Chennai Super Kings
Deepak Chahar,No,Yes,No,Retained,Yes,No,No,No,BOWLER,0,,CSK,Chennai Super Kings
Ambati Rayudu,No,Yes,No,Retained,No,No,Yes,No,BATSMAN,0,,CSK,Chennai Super Kings
Dwaine Pretorius,No,Yes,No,Retained,No,Yes,No,No,ALL-ROUNDER,0,,CSK,Chennai Super Kings
